Make,Model,ModelNumber,Transmission,EngineCapacity,seating,Fuel,CRSP
HONDA,400X,2BL-NC56,6MT,399 ,2 ,GASOLINE,"  971,616 "
HONDA,400X,8BL-NC56,6MT,399 ,2 ,GASOLINE,"  1,110,048 "
HONDA,400X ,2BL-NC47,6MT,399 ,2 ,GASOLINE,"  949,622 "
HONDA,ADV150,2BK-KF38,CVT,149 ,2 ,GASOLINE,"  530,443 "
HONDA,ADV160,8BK-KF54,CVT,156 ,2 ,GASOLINE,"  611,950 "
HONDA,BENLY,2BH-AA05,CVT,49 ,1 ,GASOLINE,"  284,628 "
HONDA,BENLY 110 PRO,2BJ-JA09,CVT,107 ,2 ,GASOLINE,"  353,197 "
HONDA,BENLY E: I,ZAD-EF07,,,1 ,ELECTRIC,"  866,821 "
HONDA,BENLY E: I PRO,ZAD-EF08,,,1 ,EELCTRIC,"  907,963 "
HONDA,BENLY E: II,ZAD-EF10,,,1 ,EELCTRIC,"  893,731 "
HONDA,BENLY E: II PRO,ZAD-EF11,,0 ,1 ,ELECTRIC,"  967,734 "
HONDA,BENLY PRO,2BH-AA05,CVT,49 ,1 ,GASOLINE,"  327,322 "
HONDA,BENLY110 PRO,2BJ-JA09,CVT,107 ,2 ,GASOLINE,"  353,197 "
HONDA,CB1000R,2BL-SC80,6MT,998 ,2 ,GASOLINE,"  1,960,050 "
HONDA,CB1000R,8BL-SC80,6MT,998 ,2 ,GASOLINE,"  2,161,748 "
HONDA,CB1000R BLACK EDITION ,8BL-SC80,6MT,998 ,2 ,GASOLINE,"  2,220,096 "
HONDA,CB100R,2BL-SC80,6MT,998 ,2 ,GASOLINE,"  1,965,225 "
HONDA,CB1100,2BL-SC65,6MT,1140 ,2 ,GASOLINE,"  1,461,952 "
HONDA,CB1100  EX,2BL-SC65,6MT,1140 ,2 ,GASOLINE,"  1,763,269 "
HONDA,CB1100 EX,2BL-SC65,6MT,1140 ,2 ,GASOLINE,"  1,602,972 "
HONDA,CB1100 RS,2BL-SC65,6MT,1140 ,2 ,GASOLINE,"  1,648,253 "
HONDA,CB1100EX,2BL-SC65,6MT,1140 ,2 ,GASOLINE,"  1,602,972 "
HONDA,CB1100N RS,2BL-SC65,6MT,1140 ,2 ,GASOLINE,"  1,650,841 "
HONDA,CB125R,2BJ-JC79,6MT,124 ,2 ,GASOLINE,"  536,911 "
HONDA,CB125R,8BJ-JC91,6MT,124 ,2 ,GASOLINE,"  611,950 "
HONDA,CB1300,2BL-SC54,6MT,1284 ,2 ,GASOLINE,"  1,777,630 "
HONDA,CB1300 SUPER BOL D'OR,2BL-SC54,6MT,1284 ,2 ,GASOLINE,"  1,907,006 "
HONDA,CB1300 SUPER BOL D'OR,8BL-SC54,6MT,1284 ,2 ,GASOLINE,"  2,163,171 "
HONDA,CB1300 SUPER BOL D'OR SP,8BL-SC54,6MT,1284 ,2 ,GASOLINE,"  2,647,038 "
HONDA,CB1300 SUPER DOL D'OR,8BL-SC54,6MT,1284 ,2 ,GASOLINE,"  2,163,171 "
HONDA,CB1300 SUPER FOUR,2BL-SC54,6MT,1284 ,2 ,GASOLINE,"  1,777,630 "
HONDA,CB1300 SUPER FOUR,8BL-CS54,6MT,1284 ,2 ,GASOLINE,"  2,020,857 "
HONDA,CB1300 SUPER FOUR SP,8BL-SC54,6MT,1284 ,2 ,GASOLINE,"  2,504,724 "
HONDA,CB250R,2BK-MC52,6MT,249 ,2 ,GASOLINE,"  602,893 "
HONDA,CB250R,8BK-MC52,6MT,249 ,2 ,GASOLINE,"  730,070 "
HONDA,CB400,2BL-NC42,6MT,399 ,2 ,GASOLINE,"  1,091,936 "
HONDA,CB400 SUPER BOL D'OR,2BL-NC42,6MT,399 ,2 ,GASOLINE,"  1,275,650 "
HONDA,CB400 SUPER D0L D'OR,2BL-NC42,6MT,399 ,2 ,GASOLINE,"  1,186,380 "
HONDA,CB400 SUPER FOUR,2BL-NC42,6MT,399 ,2 ,GASOLINE,"  1,028,541 "
HONDA,CB650F,2BL-RC83,6MT,648 ,2 ,GASOLINE,"  1,106,167 "
HONDA,CB650R,2BL-RH03,6MT,648 ,2 ,GASOLINE,"  1,151,449 "
